Adresse,Stimmart,Bezirknr,Bezirksname,Wahlbezirk,Wahlbezirksart,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,BerlinOstWest,Wahlberechtigte_insgesamt,Wahlberechtigte_A1,Wahlberechtigte_A2,Wahlberechtigte_A3,W�hler,W�hler_B1,Ung�ltige_Stimmen,Gueltige_Stimmen,SPD,CDU,GR�NE,DIE_LINKE,PIRATEN,NPD,FDP,Tierschutzpartei,pro_Deutschland,Die_PARTEI,BIG,DKP,�dp,PSG,B�So,B,DL,ALFA,Tierschutzallianz,AfD,DIE_EINHEIT,DIE_VIOLETTEN,Graue_Panther,MENSCHLICHE_WELT,MIETERPARTEI,Gesundheitsforschung,EB_Bahn,EB_Bayrak,EB_�etin,EB_Di_Leo,EB_Ditsche,EB_Fielsch,EB_Friedrich,EB_Gl�ser,EB_Heine,EB_Mandik,EB_�zi?ik,EB_Quednau,EB_Sandner,EB_?en,EB_Snelinski,EB_Steinf�hr,EB_Tanriverdi,EB_Tschammer-Osten
06B1E,Erststimme,6,Steglitz-Zehlendorf,1E,Briefwahlbezirk,1,79,W,0,0,0,0,852,852,8,842,209,237,157,47,20,0,65,0,0,19,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B1F,Erststimme,6,Steglitz-Zehlendorf,1F,Briefwahlbezirk,1,79,W,0,0,0,0,752,752,8,737,203,189,137,48,16,0,71,0,0,9,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B1G,Erststimme,6,Steglitz-Zehlendorf,1G,Briefwahlbezirk,1,79,W,0,0,0,0,1014,1014,10,992,241,230,256,75,18,0,93,0,0,14,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B1H,Erststimme,6,Steglitz-Zehlendorf,1H,Briefwahlbezirk,1,79,W,0,0,0,0,945,945,9,936,261,241,183,64,17,0,62,0,0,7,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B1I,Erststimme,6,Steglitz-Zehlendorf,1I,Briefwahlbezirk,1,79,W,0,0,0,0,998,998,9,985,252,268,224,61,14,0,77,0,0,9,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B2A,Erststimme,6,Steglitz-Zehlendorf,2A,Briefwahlbezirk,2,79,W,0,0,0,0,958,958,9,939,253,216,220,63,15,0,71,0,3,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B2B,Erststimme,6,Steglitz-Zehlendorf,2B,Briefwahlbezirk,2,79,W,0,0,0,0,851,851,10,833,242,194,140,58,22,0,70,0,11,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B2C,Erststimme,6,Steglitz-Zehlendorf,2C,Briefwahlbezirk,2,79,W,0,0,0,0,695,695,17,675,186,188,115,33,11,0,54,0,9,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B2D,Erststimme,6,Steglitz-Zehlendorf,2D,Briefwahlbezirk,2,79,W,0,0,0,0,883,883,12,862,214,283,115,45,13,0,80,0,11,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B2E,Erststimme,6,Steglitz-Zehlendorf,2E,Briefwahlbezirk,2,79,W,0,0,0,0,873,873,7,863,249,217,164,57,17,0,69,0,4,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
